state,type,stat,intercept_no,time_disp,spatial_disp
sleep,actual,mean,1.0,1.0,5.030517000281186
sleep,actual,mean,1.0,2.0,7.024855102138501
sleep,actual,mean,1.0,3.0,9.099517686186203
sleep,actual,mean,1.0,4.0,10.017216356752039
sleep,actual,mean,1.0,5.0,11.285289011056026
sleep,actual,mean,1.0,6.0,12.826045103524885
sleep,actual,mean,1.0,7.0,13.599722461823685
sleep,actual,mean,1.0,8.0,14.711143431868921
sleep,actual,mean,2.0,1.0,7.447456263874556
sleep,actual,mean,2.0,2.0,11.069098043962269
sleep,actual,mean,2.0,3.0,13.49379824560592
sleep,actual,mean,2.0,4.0,16.02903615318151
sleep,actual,mean,2.0,5.0,17.882661687821976
sleep,actual,mean,2.0,6.0,19.521261220516465
sleep,actual,mean,2.0,7.0,22.550555815047385
sleep,actual,mean,2.0,8.0,25.78366320241546
sleep,actual,mean,3.0,1.0,8.923585809795542
sleep,actual,mean,3.0,2.0,12.856349181852298
sleep,actual,mean,3.0,3.0,15.737260741989871
sleep,actual,mean,3.0,4.0,19.033185187056315
sleep,actual,mean,3.0,5.0,21.151601268473087
sleep,actual,mean,3.0,6.0,22.336756547657206
sleep,actual,mean,3.0,7.0,25.172286348283897
sleep,actual,mean,3.0,8.0,27.645140497082814
sleep,actual,mean,4.0,1.0,10.20231896581613
sleep,actual,mean,4.0,2.0,17.251723414903037
sleep,actual,mean,4.0,3.0,18.67484037204464
sleep,actual,mean,4.0,4.0,20.874670873045424
sleep,actual,mean,4.0,5.0,25.01958554846481
sleep,actual,mean,4.0,6.0,26.404848039706646
sleep,actual,mean,4.0,7.0,29.302407940493747
sleep,actual,mean,4.0,8.0,32.02838740867233
sleep,actual,mean,5.0,1.0,18.30545378085733
sleep,actual,mean,5.0,2.0,25.07347425290542
sleep,actual,mean,5.0,3.0,27.972176652285512
sleep,actual,mean,5.0,4.0,32.7581500308339
sleep,actual,mean,5.0,5.0,36.730084813879515
sleep,actual,mean,5.0,6.0,34.93731182526437
sleep,actual,mean,5.0,7.0,39.485187095922434
sleep,actual,mean,5.0,8.0,35.08520241599624
sleep,actual,sem,1.0,1.0,1.0143173913189023
sleep,actual,sem,1.0,2.0,0.9056401564601453
sleep,actual,sem,1.0,3.0,1.4434141937647713
sleep,actual,sem,1.0,4.0,2.105144536192578
sleep,actual,sem,1.0,5.0,2.8470297655833687
sleep,actual,sem,1.0,6.0,3.482366686221306
sleep,actual,sem,1.0,7.0,4.303815851208697
sleep,actual,sem,1.0,8.0,3.6029600392302066
sleep,actual,sem,2.0,1.0,1.6146068513281933
sleep,actual,sem,2.0,2.0,1.7336179251132757
sleep,actual,sem,2.0,3.0,1.951398824638827
sleep,actual,sem,2.0,4.0,2.151132425302947
sleep,actual,sem,2.0,5.0,2.304720930369982
sleep,actual,sem,2.0,6.0,1.8052954623462387
sleep,actual,sem,2.0,7.0,2.292746724932138
sleep,actual,sem,2.0,8.0,2.923589129952303
sleep,actual,sem,3.0,1.0,1.2107132552122557
sleep,actual,sem,3.0,2.0,1.392278940980378
sleep,actual,sem,3.0,3.0,1.642796050503181
sleep,actual,sem,3.0,4.0,2.1419578413304365
sleep,actual,sem,3.0,5.0,2.1134585207753975
sleep,actual,sem,3.0,6.0,2.098319710101906
sleep,actual,sem,3.0,7.0,2.493831013529638
sleep,actual,sem,3.0,8.0,2.850671991224594
sleep,actual,sem,4.0,1.0,1.8519554347166618
sleep,actual,sem,4.0,2.0,2.1243226210311503
sleep,actual,sem,4.0,3.0,2.1405300252022608
sleep,actual,sem,4.0,4.0,2.4211257956027485
sleep,actual,sem,4.0,5.0,3.249633198044501
sleep,actual,sem,4.0,6.0,3.800037394309868
sleep,actual,sem,4.0,7.0,4.244863086135706
sleep,actual,sem,4.0,8.0,4.947575433135712
sleep,actual,sem,5.0,1.0,3.4470438908270093
sleep,actual,sem,5.0,2.0,3.6024404363819507
sleep,actual,sem,5.0,3.0,4.0933796868605565
sleep,actual,sem,5.0,4.0,4.8871019971302205
sleep,actual,sem,5.0,5.0,5.559845422382076
sleep,actual,sem,5.0,6.0,6.1955056835554
sleep,actual,sem,5.0,7.0,5.775100655831255
sleep,actual,sem,5.0,8.0,5.211581271618783
sleep,shuffled,mean,1.0,1.0,6.0676963759724245
sleep,shuffled,mean,1.0,2.0,6.2200675609444
sleep,shuffled,mean,1.0,3.0,6.3031590966690025
sleep,shuffled,mean,1.0,4.0,6.354948950870066
sleep,shuffled,mean,1.0,5.0,6.348448430194148
sleep,shuffled,mean,1.0,6.0,6.270341235450668
sleep,shuffled,mean,1.0,7.0,6.165371125580509
sleep,shuffled,mean,1.0,8.0,5.99426421888131
sleep,shuffled,mean,2.0,1.0,10.996483263441567
sleep,shuffled,mean,2.0,2.0,11.497186008043109
sleep,shuffled,mean,2.0,3.0,11.54901838485844
sleep,shuffled,mean,2.0,4.0,11.626720653181343
sleep,shuffled,mean,2.0,5.0,12.097167578182678
sleep,shuffled,mean,2.0,6.0,12.620165269463447
sleep,shuffled,mean,2.0,7.0,13.870654697179765
sleep,shuffled,mean,2.0,8.0,15.96149212226823
sleep,shuffled,mean,3.0,1.0,18.904215705195796
sleep,shuffled,mean,3.0,2.0,18.871647999281112
sleep,shuffled,mean,3.0,3.0,19.30745176026505
sleep,shuffled,mean,3.0,4.0,20.175246707541024
sleep,shuffled,mean,3.0,5.0,20.44175840591175
sleep,shuffled,mean,3.0,6.0,21.220303883976957
sleep,shuffled,mean,3.0,7.0,22.321472021521053
sleep,shuffled,mean,3.0,8.0,23.012481680580247
sleep,shuffled,mean,4.0,1.0,24.918798166396652
sleep,shuffled,mean,4.0,2.0,25.48397491486458
sleep,shuffled,mean,4.0,3.0,25.922530567759285
sleep,shuffled,mean,4.0,4.0,25.699773763620417
sleep,shuffled,mean,4.0,5.0,25.836734354505083
sleep,shuffled,mean,4.0,6.0,27.788655886407216
sleep,shuffled,mean,4.0,7.0,30.36988351247669
sleep,shuffled,mean,4.0,8.0,29.745831298486333
sleep,shuffled,mean,5.0,1.0,28.965278209817903
sleep,shuffled,mean,5.0,2.0,28.339501260806855
sleep,shuffled,mean,5.0,3.0,28.886884693225287
sleep,shuffled,mean,5.0,4.0,28.806374310717274
sleep,shuffled,mean,5.0,5.0,29.30155960608304
sleep,shuffled,mean,5.0,6.0,29.980092897608802
sleep,shuffled,mean,5.0,7.0,31.94187875786124
sleep,shuffled,mean,5.0,8.0,29.753957942516372
sleep,shuffled,sem,1.0,1.0,0.6067696375972425
sleep,shuffled,sem,1.0,2.0,0.62200675609444
sleep,shuffled,sem,1.0,3.0,0.6303159096669002
sleep,shuffled,sem,1.0,4.0,0.6354948950870065
sleep,shuffled,sem,1.0,5.0,0.6348448430194148
sleep,shuffled,sem,1.0,6.0,0.6270341235450668
sleep,shuffled,sem,1.0,7.0,0.6165371125580509
sleep,shuffled,sem,1.0,8.0,0.599426421888131
sleep,shuffled,sem,2.0,1.0,0.2041357670833013
sleep,shuffled,sem,2.0,2.0,0.21501669107176535
sleep,shuffled,sem,2.0,3.0,0.24851603862644467
sleep,shuffled,sem,2.0,4.0,0.31199122322068534
sleep,shuffled,sem,2.0,5.0,0.3568493723762703
sleep,shuffled,sem,2.0,6.0,0.3849260013219468
sleep,shuffled,sem,2.0,7.0,0.5541138699992183
sleep,shuffled,sem,2.0,8.0,0.6146594158199524
sleep,shuffled,sem,3.0,1.0,0.21576337468099158
sleep,shuffled,sem,3.0,2.0,0.2271233034864416
sleep,shuffled,sem,3.0,3.0,0.2674521428354861
sleep,shuffled,sem,3.0,4.0,0.28249501026093143
sleep,shuffled,sem,3.0,5.0,0.34403176252186934
sleep,shuffled,sem,3.0,6.0,0.3850246617139919
sleep,shuffled,sem,3.0,7.0,0.44755362485493455
sleep,shuffled,sem,3.0,8.0,0.524942078686166
sleep,shuffled,sem,4.0,1.0,0.2649517172009415
sleep,shuffled,sem,4.0,2.0,0.2950335114407876
sleep,shuffled,sem,4.0,3.0,0.341640769861012
sleep,shuffled,sem,4.0,4.0,0.3442836141814194
